,Date.Time,TMP_T1,pH_T1,ORP,Sal,TMP_T3,pH_T3,Temp_T5,pH_T5,TMP_T2,pH_T2
4,5/17/2018 0:00,17.2,7.81,434,22.6,-5.7,2.15,-5.7,7.2,17.6,8.21
5,5/17/2018 0:10,17.2,7.81,435,22.7,-5.7,2.15,-5.7,7.19,17.6,8.21
6,5/17/2018 0:20,17.2,7.81,435,22.7,-5.7,2.15,-5.7,7.18,17.5,8.21
7,5/17/2018 0:30,17.2,7.81,435,22.6,-5.7,2.15,-5.7,7.16,17.5,8.21
8,5/17/2018 0:40,17.1,7.81,435,22.6,-5.7,2.15,-5.7,7.14,17.5,8.21
9,5/17/2018 0:50,17.1,7.81,435,22.5,-5.7,2.15,-5.7,7.13,17.5,8.21
10,5/17/2018 1:00,17.1,7.81,435,22.5,-5.7,2.15,-5.7,7.11,17.5,8.21
11,5/17/2018 1:10,17.1,7.81,435,22.5,-5.7,2.15,-5.7,7.1,17.4,8.21
12,5/17/2018 1:20,17.1,7.81,435,22.5,-5.7,2.15,-5.7,7.09,17.4,8.21
13,5/17/2018 1:30,17,7.81,435,22.6,-5.7,2.15,-5.7,7.07,17.3,8.21
14,5/17/2018 1:40,17,7.81,435,22.6,-5.7,2.15,-5.7,7.06,17.3,8.21
15,5/17/2018 1:50,17,7.81,435,22.6,-5.7,2.15,-5.7,7.05,17.3,8.21
16,5/17/2018 2:00,17,7.81,435,22.6,-5.7,2.15,-5.7,7.04,17.3,8.21
17,5/17/2018 2:10,17,7.81,435,22.5,-5.7,2.15,-5.7,7.03,17.3,8.21
18,5/17/2018 2:20,17,7.81,435,22.5,-5.7,2.15,-5.7,7.02,17.3,8.21
19,5/17/2018 2:30,16.9,7.81,435,22.5,-5.7,2.15,-5.7,7,17.3,8.21
20,5/17/2018 2:40,16.9,7.81,435,22.5,-5.7,2.15,-5.7,6.99,17.3,8.21
21,5/17/2018 2:50,16.9,7.81,435,22.5,-5.7,2.15,-5.7,6.98,17.3,8.21
22,5/17/2018 3:00,16.8,7.81,435,22.5,-5.7,2.15,-5.7,6.97,17.2,8.21
23,5/17/2018 3:10,16.8,7.81,435,22.5,-5.7,2.15,-5.7,6.96,17.2,8.21
24,5/17/2018 3:20,16.8,7.81,436,22.4,-5.7,2.15,-5.7,6.95,17.2,8.21
25,5/17/2018 3:30,16.8,7.81,436,22.4,-5.7,2.15,-5.7,6.93,17.2,8.21
26,5/17/2018 3:40,16.8,7.81,436,22.4,-5.7,2.15,-5.7,6.92,17.2,8.21
27,5/17/2018 3:50,16.8,7.81,436,22.3,-5.7,2.15,-5.7,6.91,17.2,8.21
28,5/17/2018 4:00,16.8,7.81,436,22.5,-5.7,2.15,-5.7,6.9,17.2,8.21
29,5/17/2018 4:10,16.7,7.81,436,22.5,-5.7,2.15,-5.7,6.89,17.1,8.21
30,5/17/2018 4:20,16.7,7.81,436,22.5,-5.7,2.15,-5.7,6.88,17.1,8.21
31,5/17/2018 4:30,16.7,7.81,436,22.4,-5.7,2.15,-5.7,6.87,17.1,8.21
32,5/17/2018 4:40,16.7,7.81,436,22.5,-5.7,2.15,-5.7,6.86,17.1,8.21
33,5/17/2018 4:50,16.7,7.81,436,22.4,-5.7,2.15,-5.7,6.85,17.1,8.21
34,5/17/2018 5:00,16.7,7.81,436,22.4,-5.7,2.15,-5.7,6.84,17.1,8.21
35,5/17/2018 5:10,16.7,7.81,436,22.4,-5.7,2.15,-5.7,6.82,17.1,8.21
36,5/17/2018 5:20,16.7,7.81,436,22.4,-5.7,2.15,-5.7,6.81,17.1,8.21
37,5/17/2018 5:30,16.6,7.81,436,22.4,-5.7,2.15,-5.7,6.81,17,8.2
38,5/17/2018 5:40,16.6,7.81,437,22.4,-5.7,2.15,-5.7,6.8,17,8.2
39,5/17/2018 5:50,16.6,7.81,436,22.4,-5.7,2.15,-5.7,6.79,17,8.2
40,5/17/2018 6:00,16.6,7.81,437,22.3,-5.7,2.15,-5.7,6.78,17,8.2
41,5/17/2018 6:10,16.6,7.81,437,22.3,-5.7,2.15,-5.7,6.78,17,8.2
42,5/17/2018 6:20,16.6,7.81,437,22.3,-5.7,2.15,-5.7,6.77,17,8.2
43,5/17/2018 6:30,16.6,7.81,437,22.3,-5.7,2.15,-5.7,6.76,17,8.2
44,5/17/2018 6:40,16.6,7.81,437,22.3,-5.7,2.15,-5.7,6.76,17,8.2
45,5/17/2018 6:50,16.6,7.81,437,22.4,-5.7,2.15,-5.7,6.75,17,8.2
46,5/17/2018 7:00,16.6,7.81,437,22.3,-5.7,2.15,-5.7,6.74,17,8.2
47,5/17/2018 7:10,16.6,7.81,437,22.3,-5.7,2.15,-5.7,6.73,17,8.2
48,5/17/2018 7:20,16.6,7.81,437,22.3,-5.7,2.15,-5.7,6.73,17,8.2
49,5/17/2018 7:30,16.6,7.81,437,22.3,-5.7,2.15,-5.7,6.72,17,8.2
