"","Date.Time","TMP_T2","pH_T2","Sal","TMP_T4","pH_T4","Temp_T5","pH_T5","TMP_T3","pH_T3"
"4",2018-06-27 19:30:00,"16.2","7.19","27.4","16.6","7.71","16.6","7.69","16.5","7.29"
"5",2018-06-27 19:40:00,"16.2","7.19","27.4","16.6","7.71","16.6","7.69","16.5","7.27"
"6",2018-06-27 19:50:00,"16.1","7.19","27.4","16.6","7.71","16.6","7.69","16.5","7.26"
"7",2018-06-27 20:00:00,"16.1","7.20","27.3","16.6","7.71","16.6","7.69","16.4","7.25"
"8",2018-06-27 20:10:00,"16.1","7.19","27.3","16.6","7.71","16.6","7.69","16.4","7.24"
"9",2018-06-27 20:20:00,"16.1","7.19","27.3","16.5","7.71","16.5","7.69","16.4","7.23"
"10",2018-06-27 20:30:00,"16.1","7.19","27.3","16.5","7.71","16.5","7.69","16.4","7.21"
"11",2018-06-27 20:40:00,"16.1","7.20","27.3","16.5","7.71","16.5","7.69","16.4","7.21"
"12",2018-06-27 20:50:00,"16.1","7.19","27.3","16.5","7.71","16.5","7.69","16.3","7.19"
"13",2018-06-27 21:00:00,"16.0","7.19","27.3","16.5","7.71","16.5","7.69","16.3","7.21"
"14",2018-06-27 21:10:00,"16.0","7.22","27.3","16.5","7.71","16.5","7.69","16.3","7.20"
"15",2018-06-27 21:20:00,"16.0","7.20","27.3","16.5","7.71","16.5","7.69","16.3","7.21"
"16",2018-06-27 21:30:00,"16.0","7.19","27.3","16.5","7.71","16.5","7.69","16.3","7.20"
"17",2018-06-27 21:40:00,"16.0","7.19","27.3","16.5","7.71","16.5","7.69","16.3","7.21"
"18",2018-06-27 21:50:00,"16.0","7.22","27.3","16.4","7.71","16.5","7.69","16.3","7.20"
"19",2018-06-27 22:00:00,"16.0","7.19","27.3","16.4","7.71","16.4","7.69","16.3","7.20"
"20",2018-06-27 22:10:00,"16.0","7.19","27.3","16.4","7.71","16.4","7.69","16.3","7.21"
"21",2018-06-27 22:20:00,"16.0","7.22","27.3","16.4","7.71","16.4","7.69","16.3","7.20"
"22",2018-06-27 22:30:00,"16.0","7.20","27.3","16.4","7.71","16.4","7.69","16.3","7.21"
"23",2018-06-27 22:40:00,"15.9","7.19","27.3","16.4","7.71","16.4","7.69","16.3","7.20"
"24",2018-06-27 22:50:00,"15.9","7.19","27.3","16.4","7.71","16.4","7.69","16.3","7.21"
"25",2018-06-27 23:00:00,"15.9","7.22","27.2","16.3","7.71","16.4","7.69","16.2","7.21"
"26",2018-06-27 23:10:00,"15.9","7.19","27.3","16.3","7.71","16.3","7.69","16.2","7.20"
"27",2018-06-27 23:20:00,"15.9","7.19","27.2","16.3","7.71","16.3","7.69","16.2","7.21"
"28",2018-06-27 23:30:00,"15.9","7.22","27.2","16.3","7.71","16.3","7.69","16.2","7.20"
"29",2018-06-27 23:40:00,"15.9","7.19","27.2","16.3","7.71","16.3","7.69","16.2","7.21"
"30",2018-06-27 23:50:00,"15.9","7.19","27.2","16.3","7.71","16.3","7.69","16.2","7.20"
"31",2018-06-28 00:00:00,"15.9","7.19","27.2","16.3","7.71","16.3","7.69","16.2","7.21"
