"Sample.ID","TA","Mass"
"20180627_Junk1",2017.397834,60.5138
"20180627_Junk2",2017.326888,61.619
"20180627_Junk3",2017.010397,60.0611
"20180627_Junk4",2021.557415,60.5103
"20180627_Junk5",2013.390299,61.2874
"20180627_Junk6",2014.225702,60.0291
"20180627_Junk7",2015.560312,59.9206
"20180627_Junk8",2013.158511,61.9995
"20180627_Junk9",2012.741311,60.7892
"20180627_Junk1",2017.397834,60.5138
"20180627_Junk2",2017.326888,61.619
"20180627_Junk3",2017.010397,60.0611
"20180627_Junk4",2021.557415,60.5103
"20180627_Junk5",2013.390299,61.2874
"20180627_Junk6",2014.225702,60.0291
"20180627_Junk7",2015.560312,59.9206
"20180627_Junk8",2013.158511,61.9995
"20180627_Junk9",2012.741311,60.7892
"20180703_Junk_20180628_sump_water",2043.29886,60.8404
"20180703_CRM1",2207.251302,59.1825
"20180703_CRM2",2212.365942,59.5014
"20180703_T9",2063.536446,60.8948
"20180703_H0_low",2044.301449,60.7806
"20180703_H1_control",2058.660309,60.9274
"20180703_H2_control",2050.728298,60.3862
"20180703_T0_low",2055.747247,60.1703
"20180703_T2_control",2055.933883,60.2607
"20180703_T1_control",2060.139436,60.2688
"20180703_H3_low",2052.141749,59.6913
"20180703_T3_low",2057.257289,59.9597
"20180703_spawn_tank",2061.731411,60.6972
"20180703_T7",2062.406717,59.4879
"20180703_T9",2056.15883,60.1907
"20180704_Junk_sump",2044.090722,59.867
"20180704_CRM1",2212.152553,59.8974
"20180704_CRM2",2210.201497,59.789
"20180704_H3_low",2056.132949,60.5631
"20180704_inflow_sump",2040.713225,60.9028
"20180704_H2_control",2046.153043,59.1849
"20180704_H0_low",2042.286556,60.2708
"20180704_T9",2036.40198,60.6335
"20180704_H1_control",2040.66024,60.4439
"20180704_spawn_tank",2053.613289,59.6518
"20180704_T7",2034.689353,60.2818
"20180704_T6",2041.909039,60.2051
"20180702_spawn_tank",2076.962978,60.0564
"20180702_T9",2064.939678,60.5455
"20180702_T6",2067.063468,60.4412
"20180701_T6",2063.064457,60.3386
"20180702_T7",2071.04439,60.9411
"20180701_spawn_tank",2075.565523,60.8836
"20180701_T9",2067.205568,60.1249
"20180701_T7",2066.585491,60.7191
"20180702_inflow_sump",2065.324488,60.6563
"20180708_Junk",2048.748263,59.8212
"20180708_CRM1",2225.738474,59.4845
"20180708_CRM2",2221.432861,59.9168
"20180708_H2_B",2004.922969,60.4967
"20180708_H0_T",2009.390182,60.7511
"20180708_H1_T",2002.333388,60.4721
"20180708_H0_B",2000.216423,60.634
"20180708_H3_T",2004.460354,60.6627
"20180708_H1_B",2005.104178,60.1475
"20180708_H2_T",2005.488309,60.8892
"20180708_H3_B",2002.276254,60.0998
"20180708_inflow_sump",1992.507679,60.3171
"20180711_H3_B",2035.708904,59.1495
"20180711_H1_B",2017.530065,60.5853
"20180711_H0_B",2025.162379,60.9549
"20180711_H2_B",2024.335684,60.3809
"20180711_spawn_tank",2087.262089,59.8549
"20180711_T6",2038.538023,58.703
"20180711_T7",2027.572491,59.8204
"20180711_T9",2027.295136,59.9436
"20180711_inflow_sump",2022.539512,59.1404
"20180712_H0_T",2025.588854,60.6242
"20180712_H0_B",2026.32378,60.602
"20180712_H1_T",2016.371827,60.7105
"20180712_H1_B",2022.064461,61.1981
"20180712_H2_T",2020.53018,59.4038
"20180712_H2_B",2018.667641,59.943
"20180712_H3_T",2027.345953,59.7068
"20180712_H3_B",2025.328682,59.6939
"20180712_inflow_sump",2027.196798,59.804
"20180712_JUNK",2044.573451,60.1542
"20180712_CRM1",2230.02922,59.9695
"20180712_CRM2",2229.14217,59.6345
"20180713_JUNK",2047.561379,60.5603
"20180713_CRM1",2237.99646,59.1101
"20180713_CRM2",2238.496525,60.3692
"20180713_Heathstack_outdoor",2063.230591,60.6248
"20180713_H2_T",2052.52723,60.9886
"20180713_H3_B",2056.615217,60.2307
"20180713_H3_T",2056.587144,59.1286
"20180713_H1_B",2057.709862,60.1233
"20180713_H2_B",2054.639809,60.2168
"20180713_H1_T",2050.057707,60.6424
"20180713_H0_T",2049.085614,60.6441
"20180713_H0_B",2052.012579,60.1952
"20180714_JUNK",2060.509733,59.996
"20180714_CRM1",2228.482794,59.383
"20180714_CRM2",2228.493044,59.2409
"20180714_H3_T",2056.488447,60.2574
"20180714_H3_B",2049.952475,60.4935
"20180714_H2_T",2045.935447,59.9545
"20180714_H2_B",2050.514114,60.5711
"20180714_H1_B",2047.160788,60.3517
"20180714_H1_T",2049.017554,60.0508
"20180714_H0_T",2049.649265,60.5782
"20180714_H0_B",2045.38802,60.6254
"20180714_Heathstack_outdoor",2042.025278,60.2039
"20180715_JUNK",2066.934618,59.8151
"20180715_CRM1",2225.352515,59.0208
"20180715_CRM2",2223.783602,59.1817
"20180716_JUNK",2055.155422,60.7668
"20180716_CRM1",2224.116078,59.176
"20180716_CRM2",2225.110369,59.607
"20180715_H3_T",2065.919145,60.5696
"20180715_inflow_sump",2051.217454,60.2353
"20180715_H2_B",2058.439323,60.2385
"20180715_H3_B",2057.435833,60.1452
"20180715_H2_T",2055.917984,60.0902
"20180715_H1_B",2059.141641,59.6699
"20180715_H1_T",2057.635522,60.5635
"20180715_H0_T",2051.316525,60.4606
"20180715_H0_B",2052.836732,60.4371
"20180716_H1_T",2074.528246,60.8448
"20180716_inflow_sump",2055.679716,60.5734
"20180716_H2_B",2060.858882,60.6405
"20180716_H2_T",2060.548582,60.3922
"20180716_H1_B",2056.617331,59.8175
"20180716_H3_T",2058.720362,60.4788
"20180716_H3_B",2064.740183,60.7663
"20180716_H0_B",2054.991812,60.5969
"20180716_H0_T",2059.97615,60.7646
"20180718_JUNK",2018.677174,60.6096
"20180718_CRM1",2221.156649,59.6861
"20180718_CRM2",2225.398846,59.3746
"20180717_JUNK",2054.047726,59.5856
"20180717_CRM1",2223.131197,59.1414
"20180717_CRM2",2225.14051,59.0625
"20180718_H0_T",2054.660936,60.0596
"20180718_H0_B",2056.25631,59.1802
"20180718_H1_T",2052.294868,60.2216
"20180718_H1_B",2056.271814,59.4765
"20180718_H2_B",2052.772096,60.5286
"20180718_H2_T",2060.022197,60.6053
"20180718_H3_T",2056.759808,59.2755
"20180718_H3_B",2054.151602,60.4648
"20180718_inflow_sump",2049.70399,60.4327
"20180717_H3_B",2070.309299,59.931
"20180717_H3_T",2061.986441,60.5019
"20180717_H2_B",2062.895534,60.9138
"20180717_inflow_sump",2060.816128,59.574
"20180717_H2_T",2057.249294,60.5704
"20180717_H1_B",2065.231071,60.7607
"20180717_H1_T",2061.557333,60.0912
"20180717_H0_T",2063.510239,60.5825
"20180717_H0_B",2060.792643,60.3305
"20180719_JUNK",2053.884695,60.719
"20180719_CRM1",2222.487916,59.5308
"20180719_CRM2",2223.880273,59.6723
"20180719_inflow_sump",2056.778292,60.3805
"20180719_H0_B",2056.835863,60.2761
"20180719_H0_T",2049.494582,60.44
"20180719_H1_B",2050.545529,60.8597
"20180719_H1_T",2045.481008,60.9549
"20180719_H2_T",2050.639629,59.8758
"20180719_H2_B",2054.270259,60.4839
"20180719_H3_B",2049.103507,60.8709
"20180719_H3_T",2047.765259,60.4272
"20180720_JUNK",2058.211844,59.3953
"20180720_CRM1",2219.585552,59.1559
"20180720_CRM2",2219.995238,59.527
"20180720_H0_T",2052.465056,60.515
"20180720_H0_B",2063.113038,60.314
"20180720_H1_T",2054.462422,60.6336
"20180720_H1_B",2056.622211,60.2876
"20180720_H2_B",2059.362951,60.3671
"20180720_H2_T",2053.762956,60.6246
"20180720_H3_B",2055.674948,60.9974
"20180720_H3_T",2050.349736,60.1031
"20180720_inflow_sump",2054.158014,60.4447
"20180721_JUNK",2054.539691,60.6513
"20180721_CRM1",2218.285058,59.2593
"20180721_CRM2",2220.893572,59.2624
"20180721_inflow_sump",2052.608831,60.4508
"20180721_H0_B",2051.795886,60.3811
"20180721_H0_T",2054.414071,60.4988
"20180721_H1_B",2055.715817,60.1823
"20180721_H1_T",2056.733296,60.5873
"20180721_H2_B",2049.925859,59.8741
"20180721_H2_T",2053.646296,60.304
