Date,Day,run,vial_pos,SIZE
20180716,2,1,A1,5.664
20180716,2,1,A1,5.215
20180716,2,1,A1,4.91
20180716,2,1,A1,4.154
20180716,2,1,A1,5.822
20180716,2,1,A1,3.793
20180716,2,1,A1,5.863
20180716,2,1,A1,6.035
20180716,2,1,A1,5.323
20180716,2,1,A1,4.321
20180716,2,1,A2,4.635
20180716,2,1,A2,4.723
20180716,2,1,A2,5.598
20180716,2,1,A2,5.078
20180716,2,1,A2,4.914
20180716,2,1,A2,4.11
20180716,2,1,A2,5.097
20180716,2,1,A2,5.273
20180716,2,1,A2,4.162
20180716,2,1,A2,5.291
20180716,2,1,A3,3.988
20180716,2,1,A3,4.813
20180716,2,1,A3,5.426
20180716,2,1,A3,5.222
20180716,2,1,A3,5.973
20180716,2,1,A3,4.323
20180716,2,1,A3,5.944
20180716,2,1,A3,5.249
20180716,2,1,A3,4.669
20180716,2,1,A3,4.854
20180716,2,1,A4,5.409
20180716,2,1,A4,5.433
20180716,2,1,A4,4.545
20180716,2,1,A4,5.87
20180716,2,1,A4,5.341
20180716,2,1,A4,6.104
20180716,2,1,A4,5.655
20180716,2,1,A4,6.055
20180716,2,1,A4,4.732
20180716,2,1,A4,5.34
20180716,2,1,A5,5.243
20180716,2,1,A5,5.005
20180716,2,1,A5,4.204
20180716,2,1,A5,4.531
20180716,2,1,A5,4.753
20180716,2,1,A5,4.515
20180716,2,1,A5,5.62
20180716,2,1,A5,4.429
20180716,2,1,A5,4.158
20180716,2,1,A5,4.243
20180716,2,1,A6,4.638
20180716,2,1,A6,4.48
20180716,2,1,A6,4.389
20180716,2,1,A6,5.563
20180716,2,1,A6,4.712
20180716,2,1,A6,4.763
20180716,2,1,A6,5.232
20180716,2,1,A6,4.877
20180716,2,1,A6,4.175
20180716,2,1,A6,5.019
20180716,2,1,B1,5.752
20180716,2,1,B1,3.47
20180716,2,1,B1,5.107
20180716,2,1,B1,5.578
20180716,2,1,B1,4.888
20180716,2,1,B1,4.452
20180716,2,1,B1,4.277
20180716,2,1,B1,5.497
20180716,2,1,B1,5.576
20180716,2,1,B2,4.395
20180716,2,1,B2,5.081
20180716,2,1,B2,4.359
20180716,2,1,B2,4.08
20180716,2,1,B2,4.761
20180716,2,1,B2,3.985
20180716,2,1,B2,4.176
20180716,2,1,B2,4.424
20180716,2,1,B2,5.62
20180716,2,1,B3,4.665
20180716,2,1,B3,3.872
20180716,2,1,B3,5.286
20180716,2,1,B3,5.114
20180716,2,1,B3,6.045
20180716,2,1,B3,3.62
20180716,2,1,B3,4.91
20180716,2,1,B3,4.6
20180716,2,1,B3,5.578
20180716,2,1,B3,4.671
20180716,2,1,B4,5.3
20180716,2,1,B4,3.988
20180716,2,1,B4,5.348
20180716,2,1,B4,4.831
20180716,2,1,B4,4.746
20180716,2,1,B4,5.402
20180716,2,1,B4,5.125
20180716,2,1,B4,5.74
20180716,2,1,B4,6.286
20180716,2,1,B4,5.592
20180716,2,1,B5,4.124
20180716,2,1,B5,5.915
20180716,2,1,B5,4.593
20180716,2,1,B5,4.908
20180716,2,1,B5,5.184
20180716,2,1,B5,5.123
20180716,2,1,B5,4.809
20180716,2,1,B5,3.892
20180716,2,1,B5,4.382
20180716,2,1,B5,5.544
20180716,2,1,B6,5.544
20180716,2,1,B6,5.143
20180716,2,1,B6,5.121
20180716,2,1,B6,5.292
20180716,2,1,B6,5.16
20180716,2,1,B6,4.192
20180716,2,1,B6,5.394
20180716,2,1,B6,4.566
20180716,2,1,B6,3.77
20180716,2,1,B6,3.942
20180716,2,2,A1,5.875
20180716,2,2,A1,5.414
20180716,2,2,A1,4.435
20180716,2,2,A1,4.813
20180716,2,2,A1,6.149
20180716,2,2,A1,5.815
20180716,2,2,A1,5.606
20180716,2,2,A1,4.634
20180716,2,2,A1,5.126
20180716,2,2,A1,5.701
20180716,2,2,A2,4.535
20180716,2,2,A2,4.953
20180716,2,2,A2,5.853
20180716,2,2,A2,4.798
20180716,2,2,A2,5.263
20180716,2,2,A2,5.702
20180716,2,2,A2,4.768
20180716,2,2,A2,5.877
20180716,2,2,A2,5.039
20180716,2,2,A3,5.334
20180716,2,2,A3,5.9
20180716,2,2,A3,4.339
20180716,2,2,A3,5.173
20180716,2,2,A3,4.808
20180716,2,2,A3,4.717
20180716,2,2,A3,5.571
20180716,2,2,A3,3.821
20180716,2,2,A3,5.404
20180716,2,2,A3,5.504
20180716,2,2,A4,5.094
20180716,2,2,A4,5.604
20180716,2,2,A4,3.486
20180716,2,2,A4,4.959
20180716,2,2,A4,6.324
20180716,2,2,A4,5.658
20180716,2,2,A4,5.49
20180716,2,2,A4,6.035
20180716,2,2,A4,2.931
20180716,2,2,A4,5.829
20180716,2,2,A5,5.191
20180716,2,2,A5,4.254
20180716,2,2,A5,4.31
20180716,2,2,A5,5.244
20180716,2,2,A5,5.957
20180716,2,2,A5,3.925
20180716,2,2,A5,5.117
20180716,2,2,A5,5.619
20180716,2,2,A5,5.53
20180716,2,2,A5,5.219
20180716,2,2,A5,5.151
20180716,2,2,A6,5.411
20180716,2,2,A6,5.598
20180716,2,2,A6,3.612
20180716,2,2,A6,5.748
20180716,2,2,A6,5.49
20180716,2,2,A6,6.095
20180716,2,2,A6,6.859
20180716,2,2,A6,5.625
20180716,2,2,A6,5.56
20180716,2,2,A6,5.552
