Date,ID,tank,SDR_position,Treat1_Treat2,Day_2_rate_calc_nmol/L,Day_5_rate_calc_nmol/L,Day_8_rate_calc_nmol/L,Day_10_rate_calc_nmol/L,Day_2_rate_calc_ug/L,Day_5_rate_calc_ug/L,Day_8_rate_calc_ug/L,Day_10_rate_calc_ug/L
20180716,H0_T_A1,H0_T,A1,Low,8.865400456,1.110969941,2.320744133,3.19169997,0.283675084,0.035548816,0.074259171,0.102128016
20180716,H0_T_A2,H0_T,A2,Low,9.211059595,6.21939857,11.72132638,7.03140261,0.294735485,0.199008315,0.375059001,0.224990821
20180716,H0_T_A3,H0_T,A3,Low,7.765275678,6.19311324,2.5159967,3.416595137,0.248473291,0.198167237,0.080506862,0.109324211
20180716,H1_T_A4,H1_T,A4,Ambient,11.6089093,7.283953439,3.878297273,9.307544793,0.37146188,0.233071942,0.124097756,0.297822818
20180716,H1_T_A5,H1_T,A5,Ambient,15.0049323,19.91575432,15.07013785,9.650828386,0.480127824,0.637264307,0.482214271,0.308807207
20180716,H1_T_A6,H1_T,A6,Ambient,13.96413739,11.64260297,5.875366824,9.992405515,0.446824468,0.37254001,0.187999988,0.319736992
20180716,H0_B_B1,H0_B,B1,Low,5.847702242,4.022126607,16.64124886,6.602958529,0.187114776,0.128700007,0.532486681,0.211281467
20180716,H0_B_B2,H0_B,B2,Low,5.77126515,1.188455083,3.957479745,8.291192822,0.184668942,0.038028186,0.126631437,0.265301588
20180716,H0_B_B3,H0_B,B3,Low,2.152889075,4.744287693,9.6460359,6.187766351,0.068888145,0.151807718,0.308653857,0.197996148
20180716,H1_B_B4,H1_B,B4,Ambient,8.008602718,13.79460972,13.97270083,7.35711956,0.25625927,0.441399922,0.447098481,0.235413112
20180716,H1_B_B5,H1_B,B5,Ambient,4.22508824,9.073308086,9.828005303,8.887974021,0.135194374,0.290327712,0.314476514,0.284397393
20180716,H1_B_B6,H1_B,B6,Ambient,10.96675726,6.422306577,7.055005872,8.170872806,0.350914299,0.205500966,0.225746078,0.261451588
20180716,H2_T_A1,H2_T,A1,Ambient,3.031839109,5.930400315,6.089273411,10.16350601,0.097012788,0.189760949,0.194844571,0.325211865
20180716,H2_T_A2,H2_T,A2,Ambient,7.622840849,5.100132672,4.540085524,10.32138035,0.243915662,0.163194045,0.145273657,0.330263529
20180716,H2_T_A3,H2_T,A3,Ambient,1.234032311,10.76040048,3.144520337,2.478104064,0.039486566,0.344311295,0.100618362,0.079294374
20180716,H3_T_A4,H3_T,A4,Low,8.1739059,2.977920111,6.29534292,7.162706065,0.261548641,0.095287488,0.201438383,0.229192269
20180716,H3_T_A5,H3_T,A5,Low,19.74269883,1.87386344,6.862968326,4.688142789,0.631726877,0.059959882,0.21960126,0.150011193
20180716,H3_T_A6,H3_T,A6,Low,3.451536819,3.099003306,6.160127602,7.987873182,0.110442275,0.099161908,0.197111763,0.255595966
20180716,H2_B_B1,H2_B,B1,Ambient,10.16974579,4.788824912,1.827724933,4.387094335,0.325411526,0.15323282,0.058483542,0.140378245
20180716,H2_B_B2,H2_B,B2,Ambient,9.528323304,4.781342879,4.463218235,6.766304274,0.304887289,0.152993409,0.142814057,0.216508204
20180716,H2_B_B3,H2_B,B3,Ambient,2.548832187,10.22526217,2.938115573,3.430402097,0.081557532,0.327187939,0.094013822,0.109766006
20180716,H3_B_B4,H3_B,B4,Low,7.203156793,6.336475082,6.144945796,3.403814679,0.230486611,0.20275453,0.196625976,0.108915262
20180716,H3_B_B5,H3_B,B5,Low,6.54142897,10.94986431,10.55779554,7.469704882,0.209312644,0.350373758,0.337828342,0.239015617
20180716,H3_B_B6,H3_B,B6,Low,4.119532641,5.997172701,5.733726631,8.985725415,0.131816805,0.191897532,0.183467785,0.287525242
