Date,ID,Init_treat,Sec_treat,Treat1_Treat2,Experiment_pair_ID,Heathstack_order,Length_mm
20190115,H1_B,Ambient,Ambient,Ambient_Ambient,1,1,9.3218
20190115,H1_B,Ambient,Ambient,Ambient_Ambient,1,1,5.6388
20190115,H1_B,Ambient,Ambient,Ambient_Ambient,1,1,8.4328
20190115,H1_B,Ambient,Ambient,Ambient_Ambient,1,1,9.0932
20190115,H1_B,Ambient,Ambient,Ambient_Ambient,1,1,9.4488
20190115,H1_B,Ambient,Ambient,Ambient_Ambient,1,1,8.4074
20190115,H1_B,Ambient,Ambient,Ambient_Ambient,1,1,4.0132
20190115,H1_B,Ambient,Ambient,Ambient_Ambient,1,1,8.7122
20190115,H1_B,Ambient,Ambient,Ambient_Ambient,1,1,9.2964
20190115,H1_B,Ambient,Ambient,Ambient_Ambient,1,1,7.5438
20190115,H1_B,Ambient,Ambient,Ambient_Ambient,1,1,7.747
20190115,H1_B,Ambient,Ambient,Ambient_Ambient,1,1,9.144
20190115,H1_B,Ambient,Ambient,Ambient_Ambient,1,1,9.9314
20190115,H1_B,Ambient,Ambient,Ambient_Ambient,1,1,9.398
20190115,H1_B,Ambient,Ambient,Ambient_Ambient,1,1,8.6106
20190115,H1_B,Ambient,Ambient,Ambient_Ambient,1,1,10.2362
20190115,H1_B,Ambient,Ambient,Ambient_Ambient,1,1,7.9756
20190115,H1_B,Ambient,Ambient,Ambient_Ambient,1,1,9.5504
20190115,H1_B,Ambient,Ambient,Ambient_Ambient,1,1,9.398
20190115,H1_B,Ambient,Ambient,Ambient_Ambient,1,1,7.0358
20190115,H1_B,Ambient,Ambient,Ambient_Ambient,1,1,9.652
20190115,H1_B,Ambient,Ambient,Ambient_Ambient,1,1,8.6106
20190115,H2_B,Ambient,Ambient,Ambient_Ambient,2,1,10.287
20190115,H2_B,Ambient,Ambient,Ambient_Ambient,2,1,5.9944
20190115,H2_B,Ambient,Ambient,Ambient_Ambient,2,1,9.3472
20190115,H2_B,Ambient,Ambient,Ambient_Ambient,2,1,6.8326
20190115,H2_B,Ambient,Ambient,Ambient_Ambient,2,1,7.4422
20190115,H2_B,Ambient,Ambient,Ambient_Ambient,2,1,5.6388
20190115,H2_B,Ambient,Ambient,Ambient_Ambient,2,1,8.4074
20190115,H2_B,Ambient,Ambient,Ambient_Ambient,2,1,7.2644
20190115,H2_B,Ambient,Ambient,Ambient_Ambient,2,1,6.4262
20190115,H2_B,Ambient,Ambient,Ambient_Ambient,2,1,8.255
20190115,H2_B,Ambient,Ambient,Ambient_Ambient,2,1,9.0678
20190115,H2_B,Ambient,Ambient,Ambient_Ambient,2,1,9.4742
20190115,H2_B,Ambient,Ambient,Ambient_Ambient,2,1,10.541
20190115,H2_B,Ambient,Ambient,Ambient_Ambient,2,1,6.1468
20190115,H2_B,Ambient,Ambient,Ambient_Ambient,2,1,6.9088
20190115,H2_B,Ambient,Ambient,Ambient_Ambient,2,1,9.1948
20190115,H2_B,Ambient,Ambient,Ambient_Ambient,2,1,5.9436
20190115,H2_B,Ambient,Ambient,Ambient_Ambient,2,1,5.9436
