Method Data
Method name,Panopea
Method ID,007
Method version,5
Method Internal ID,M44
Release State,Released
Type,TitrationGeneral

Table of Measured Values
Task,T563
Scope 1/1, Sample 1/9 (heathstack_outdoor)
Result,TitrationEP1
V,t,E,T,dV/dt,E acc. stat.,Volume acc. stat.
0.0000,0,-28.1,18.4,NaN,,
0.0010,1,-28.7,18.4,0.0010,,
0.0025,2,-28.8,18.4,0.0015,,
0.0050,3,-29.0,18.4,0.0025,,
0.0095,4,-29.0,18.4,0.0035,,
0.0160,5,-29.0,18.4,0.0055,,
0.0235,6,-28.7,18.4,0.0070,,
0.0320,7,-28.2,18.4,0.0075,,
0.0405,8,-27.4,18.4,0.0075,,
0.0490,9,-26.6,18.4,0.0070,,
0.0575,10,-25.5,18.4,0.0070,,
0.0655,11,-24.5,18.4,0.0065,,
0.0735,12,-23.4,18.4,0.0075,,
0.0815,13,-22.1,18.4,0.0075,,
0.0900,14,-20.7,18.4,0.0075,,
0.0985,15,-19.2,18.4,0.0070,,
0.1070,16,-17.4,18.4,0.0070,,
0.1155,17,-15.5,18.4,0.0070,,
0.1230,18,-13.7,18.4,0.0070,,
0.1315,19,-11.7,18.4,0.0075,,
0.1400,20,-9.6,18.4,0.0075,,
0.1485,21,-7.4,18.4,0.0070,,
0.1565,22,-5.0,18.4,0.0065,,
0.1650,23,-2.5,18.4,0.0070,,
0.1725,24,-0.2,18.4,0.0070,,
0.1810,25,1.4,18.4,0.0075,,
0.1895,26,3.2,18.4,0.0075,,
0.1980,27,4.9,18.4,0.0070,,
0.2065,28,6.2,18.4,0.0070,,
0.2150,29,7.5,18.4,0.0070,,
0.2225,30,8.6,18.5,0.0070,,
0.2310,31,9.9,18.5,0.0075,,
0.2390,32,10.9,18.5,0.0075,,
0.2475,33,11.9,18.5,0.0070,,
0.2560,34,12.8,18.5,0.0070,,
0.2645,35,13.7,18.5,0.0070,,
0.2720,36,14.5,18.5,0.0070,,
0.2805,37,15.3,18.5,0.0075,,
0.2890,38,16.1,18.5,0.0075,,
0.2975,39,16.7,18.5,0.0070,,
0.3060,40,17.3,18.5,0.0070,,
0.3135,41,18.0,18.5,0.0070,,
0.3220,42,18.7,18.5,0.0075,,
0.3300,43,19.4,18.5,0.0075,,
0.3385,44,20.1,18.5,0.0070,,
0.3470,45,20.8,18.5,0.0070,,
0.3555,46,21.4,18.5,0.0070,,
0.3630,47,22.0,18.5,0.0070,,
0.3715,48,22.6,18.5,0.0075,,
0.3800,49,23.3,18.5,0.0075,,
0.3885,50,23.9,18.5,0.0070,,
0.3965,51,24.6,18.5,0.0065,,
0.4050,52,25.2,18.5,0.0070,,
0.4130,53,25.7,18.5,0.0075,,
0.4210,54,26.3,18.5,0.0075,,
0.4295,55,26.9,18.5,0.0075,,
0.4380,56,27.7,18.5,0.0070,,
0.4465,57,28.3,18.5,0.0070,,
0.4550,58,28.9,18.5,0.0070,,
0.4625,59,29.4,18.5,0.0070,,
0.4710,60,30.0,18.5,0.0075,,
0.4795,61,30.6,18.5,0.0075,,
0.4875,62,31.1,18.5,0.0065,,
0.4960,63,31.7,18.5,0.0070,,
0.5045,64,32.3,18.5,0.0075,,
0.5120,65,33.0,18.5,0.0070,,
0.5205,66,33.6,18.5,0.0075,,
0.5290,67,34.2,18.5,0.0075,,
0.5375,68,34.8,18.5,0.0070,,
0.5460,69,35.4,18.5,0.0070,,
0.5545,70,35.9,18.5,0.0075,,
0.5620,71,36.4,18.5,0.0070,,
0.5705,72,37.1,18.5,0.0075,,
0.5785,73,37.7,18.5,0.0065,,
0.5870,74,38.3,18.5,0.0070,,
0.5955,75,38.9,18.5,0.0070,,
0.6040,76,39.5,18.5,0.0075,,
0.6115,77,40.1,18.5,0.0070,,
0.6200,78,40.7,18.5,0.0075,,
0.6285,79,41.3,18.5,0.0070,,
0.6370,80,41.9,18.5,0.0070,,
0.6455,81,42.4,18.5,0.0070,,
0.6530,82,43.0,18.5,0.0070,,
0.6615,83,43.7,18.5,0.0075,,
0.6695,84,44.3,18.5,0.0075,,
0.6780,85,44.9,18.6,0.0070,,
0.6865,86,45.6,18.6,0.0070,,
0.6950,87,46.2,18.6,0.0070,,
0.7025,88,46.8,18.6,0.0070,,
0.7110,89,47.4,18.6,0.0075,,
0.7195,90,48.0,18.6,0.0075,,
0.7280,91,48.6,18.6,0.0070,,
0.7360,92,49.2,18.6,0.0065,,
0.7445,93,49.8,18.6,0.0070,,
0.7525,94,50.4,18.6,0.0075,,
0.7605,95,51.1,18.6,0.0075,,
0.7690,96,51.8,18.6,0.0070,,
0.7775,97,52.5,18.6,0.0070,,
0.7860,98,53.2,18.6,0.0070,,
0.7945,99,53.8,18.6,0.0075,,
0.8020,100,54.5,18.6,0.0070,,
0.8105,101,55.1,18.6,0.0075,,
0.8190,102,55.9,18.6,0.0075,,
0.8270,103,56.5,18.6,0.0065,,
0.8355,104,57.2,18.6,0.0070,,
0.8440,105,57.9,18.6,0.0075,,
0.8515,106,58.7,18.6,0.0070,,
0.8600,107,59.4,18.6,0.0075,,
0.8685,108,60.2,18.6,0.0075,,
0.8770,109,61.0,18.6,0.0070,,
0.8855,110,61.8,18.6,0.0070,,
0.8935,111,62.6,18.6,0.0065,,
0.9015,112,63.3,18.6,0.0075,,
0.9095,113,64.2,18.6,0.0075,,
0.9180,114,64.9,18.6,0.0075,,
0.9265,115,65.7,18.6,0.0070,,
