Method Data
Method name,Panopea
Method ID,007
Method version,5
Method Internal ID,M44
Release State,Released
Type,TitrationGeneral

Table of Measured Values
Task,T655
Scope 1/1, Sample 1/3 (JUNK)
Result,TitrationEP1
V,t,E,T,dV/dt,E acc. stat.,Volume acc. stat.
0.0000,0,-50.7,20.4,NaN,,
0.0010,1,-51.2,20.4,0.0010,,
0.0025,2,-51.2,20.4,0.0015,,
0.0050,3,-51.3,20.4,0.0025,,
0.0085,4,-51.3,20.4,0.0030,,
0.0150,5,-51.1,20.4,0.0060,,
0.0230,6,-50.3,20.4,0.0075,,
0.0305,7,-49.5,20.4,0.0075,,
0.0390,8,-48.3,20.4,0.0085,,
0.0475,9,-46.9,20.4,0.0075,,
0.0560,10,-45.3,20.4,0.0075,,
0.0645,11,-43.5,20.4,0.0075,,
0.0730,12,-41.6,20.4,0.0075,,
0.0805,13,-39.9,20.4,0.0075,,
0.0890,14,-37.9,20.4,0.0085,,
0.0975,15,-35.4,20.4,0.0075,,
0.1055,16,-32.9,20.4,0.0075,,
0.1140,17,-30.3,20.4,0.0075,,
0.1225,18,-27.5,20.4,0.0075,,
0.1300,19,-24.8,20.4,0.0075,,
0.1385,20,-21.4,20.4,0.0085,,
0.1470,21,-18.0,20.4,0.0075,,
0.1555,22,-14.4,20.4,0.0075,,
0.1640,23,-11.1,20.4,0.0075,,
0.1720,24,-8.2,20.4,0.0075,,
0.1800,25,-5.8,20.4,0.0080,,
0.1880,26,-3.3,20.4,0.0080,,
0.1965,27,-0.5,20.4,0.0075,,
0.2050,28,0.7,20.4,0.0075,,
0.2135,29,2.5,20.4,0.0075,,
0.2220,30,4.2,20.4,0.0075,,
0.2295,31,5.3,20.4,0.0075,,
0.2380,32,6.4,20.4,0.0075,,
0.2465,33,7.3,20.4,0.0075,,
0.2545,34,8.5,20.4,0.0075,,
0.2630,35,9.8,20.4,0.0075,,
0.2715,36,10.9,20.4,0.0075,,
0.2790,37,12.1,20.4,0.0075,,
0.2875,38,13.1,20.4,0.0085,,
0.2960,39,14.0,20.4,0.0075,,
0.3045,40,15.0,20.4,0.0075,,
0.3130,41,16.0,20.4,0.0075,,
0.3210,42,16.8,20.4,0.0075,,
0.3285,43,17.7,20.4,0.0075,,
0.3370,44,18.6,20.4,0.0085,,
0.3455,45,19.5,20.4,0.0075,,
0.3540,46,20.4,20.4,0.0075,,
0.3625,47,21.4,20.4,0.0075,,
0.3710,48,22.3,20.4,0.0075,,
0.3785,49,23.2,20.4,0.0075,,
0.3870,50,24.0,20.4,0.0085,,
0.3955,51,24.9,20.4,0.0075,,
0.4035,52,25.8,20.4,0.0075,,
0.4120,53,26.4,20.4,0.0075,,
0.4205,54,27.1,20.4,0.0075,,
0.4280,55,27.8,20.4,0.0075,,
0.4365,56,28.6,20.4,0.0085,,
0.4450,57,29.5,20.4,0.0075,,
0.4535,58,30.3,20.4,0.0075,,
0.4620,59,31.0,20.4,0.0075,,
0.4700,60,31.8,20.4,0.0075,,
0.4780,61,32.3,20.4,0.0080,,
0.4865,62,33.1,20.4,0.0075,,
0.4945,63,34.0,20.4,0.0075,,
0.5030,64,34.9,20.4,0.0075,,
0.5115,65,35.7,20.4,0.0075,,
0.5200,66,36.4,20.4,0.0085,,
0.5275,67,37.1,20.4,0.0075,,
0.5360,68,37.9,20.4,0.0075,,
0.5445,69,38.5,20.4,0.0075,,
0.5530,70,39.5,20.4,0.0075,,
0.5610,71,40.3,20.4,0.0075,,
0.5695,72,40.9,20.4,0.0085,,
0.5775,73,41.5,20.4,0.0080,,
0.5855,74,42.2,20.4,0.0075,,
0.5940,75,43.0,20.4,0.0075,,
0.6025,76,43.8,20.4,0.0075,,
0.6110,77,44.6,20.4,0.0075,,
0.6185,78,45.3,20.4,0.0075,,
0.6270,79,46.2,20.4,0.0085,,
0.6355,80,46.8,20.4,0.0075,,
0.6440,81,47.5,20.4,0.0075,,
0.6520,82,48.3,20.4,0.0075,,
0.6605,83,49.2,20.4,0.0075,,
0.6680,84,49.9,20.4,0.0075,,
0.6765,85,50.6,20.4,0.0085,,
0.6850,86,51.4,20.5,0.0075,,
0.6935,87,52.2,20.5,0.0075,,
0.7020,88,52.8,20.5,0.0075,,
0.7105,89,53.5,20.5,0.0075,,
0.7185,90,54.2,20.5,0.0080,,
0.7265,91,55.1,20.5,0.0080,,
0.7345,92,55.7,20.5,0.0075,,
0.7430,93,56.6,20.5,0.0075,,
0.7515,94,57.3,20.5,0.0075,,
0.7600,95,58.0,20.5,0.0075,,
0.7685,96,58.8,20.5,0.0085,,
0.7760,97,59.6,20.5,0.0075,,
0.7845,98,60.3,20.5,0.0075,,
0.7925,99,61.1,20.5,0.0075,,
0.8010,100,61.9,20.5,0.0075,,
0.8095,101,62.7,20.5,0.0075,,
0.8170,102,63.5,20.5,0.0075,,
0.8255,103,64.3,20.5,0.0085,,
0.8340,104,65.2,20.5,0.0075,,
0.8425,105,65.9,20.5,0.0075,,
0.8510,106,66.9,20.5,0.0075,,
0.8595,107,67.9,20.5,0.0075,,
0.8670,108,68.8,20.5,0.0075,,
0.8755,109,69.8,20.5,0.0085,,
0.8835,110,70.5,20.5,0.0075,,
0.8920,111,71.5,20.5,0.0075,,
0.9005,112,72.7,20.5,0.0075,,
0.9090,113,73.6,20.5,0.0075,,
0.9165,114,74.3,20.5,0.0075,,
0.9250,115,75.2,20.5,0.0085,,
0.9335,116,75.9,20.5,0.0075,,
0.9420,117,76.8,20.5,0.0075,,
0.9505,118,78.1,20.5,0.0075,,
0.9585,119,79.2,20.5,0.0075,,
0.9665,120,80.1,20.5,0.0080,,
0.9745,121,81.2,20.5,0.0080,,
0.9830,122,82.4,20.5,0.0075,,
0.9915,123,83.6,20.5,0.0075,,
1.0000,124,84.5,20.5,0.0075,,
1.0085,125,85.7,20.5,0.0085,,
1.0160,126,86.9,20.5,0.0075,,
1.0245,127,88.0,20.5,0.0075,,
1.0330,128,89.6,20.5,0.0075,,
1.0415,129,91.3,20.5,0.0075,,
1.0495,130,92.5,20.5,0.0075,,
1.0575,131,93.9,20.5,0.0080,,
1.0655,132,95.6,20.5,0.0080,,
1.0740,133,97.1,20.5,0.0075,,
1.0825,134,98.8,20.5,0.0075,,
1.0910,135,100.7,20.5,0.0075,,
1.0995,136,102.3,20.5,0.0075,,
1.1070,137,104.0,20.5,0.0075,,
1.1155,138,105.9,20.5,0.0085,,
1.1240,139,108.4,20.5,0.0075,,
1.1325,140,110.5,20.5,0.0075,,
1.1405,141,112.8,20.5,0.0075,,
1.1490,142,114.9,20.5,0.0075,,
1.1565,143,117.2,20.5,0.0075,,
1.1650,144,119.9,20.5,0.0075,,
1.1735,145,122.5,20.5,0.0075,,
1.1820,146,125.9,20.5,0.0075,,
1.1905,147,129.3,20.5,0.0075,,
1.1990,148,132.3,20.5,0.0085,,
1.2065,149,135.8,20.5,0.0075,,
1.2150,150,139.3,20.5,0.0085,,
1.2230,151,143.1,20.5,0.0075,,
1.2315,152,146.5,20.5,0.0075,,
1.2400,153,150.2,20.5,0.0075,,
1.2485,154,153.4,20.5,0.0075,,
1.2560,155,156.2,20.5,0.0075,,
1.2645,156,159.0,20.5,0.0085,,
1.2730,157,162.0,20.5,0.0075,,
1.2815,158,164.6,20.5,0.0075,,
1.2895,159,167.2,20.5,0.0075,,
1.2980,160,169.6,20.5,0.0075,,
1.3055,161,171.5,20.5,0.0075,,
1.3140,162,173.6,20.5,0.0085,,
1.3225,163,175.7,20.5,0.0075,,
1.3310,164,177.6,20.5,0.0075,,
1.3395,165,179.4,20.5,0.0075,,
1.3480,166,181.0,20.5,0.0075,,
1.3555,167,182.3,20.5,0.0075,,
1.3640,168,184.0,20.5,0.0085,,
1.3725,169,185.1,20.5,0.0070,,
1.3725,409,190.3,20.5,0.0000,,
1.3730,410,190.3,20.5,0.0005,,
1.3745,411,190.3,20.5,0.0010,,
1.3770,412,190.4,20.5,0.0020,,
1.3810,413,190.6,20.5,0.0030,,
1.3870,414,191.1,20.5,0.0045,,
1.3955,415,192.0,20.5,0.0060,,
1.4030,416,192.9,20.5,0.0060,,
1.4115,417,193.8,20.5,0.0065,,
1.4200,418,194.9,20.5,0.0060,,
